First Name,Company Name,Company Address
act,act technology solutions sdn bhd,"Lot 20-05 Level 20 Centro, 8 , Jalan Batu Tiga Lama,41300, Klang,Selangor, Malaysia"
agtiv,agtiv consulting,"D-35-05, Menara Suezcap 1, KL Gateway, Jalan Kerinchi, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur"
aic,aic semiconductor sdn bhd,"Lot 26 & 27, Jalan Hi-tech 4, Kulim Hi-tech Park, 09000 Kulim, Kedah"
aime,aime healthcare sdn bhd,"A-18-01 Northpoint (TowerA), Midvalley City, No. 1, Medan Syed Putra Utara 59200 Kuala Lumpur"
ainqa,ainqa health sdn bhd,"Lot 7.01 B & C, Menara BRDB,285 Jalan Maarof, Bukit Bandaraya,59000 Kuala Lumpur, Malaysia."
airasia,airasia,"Level 4
KL Sentral
50470 Kuala Lumpur, Kuala Lumpur
Malaysia"
ais,ais alnoor international schools,"4 & 6, Lengkok Bellamy, Bukit Petaling, 50460 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
allo,allo technology sdn bhd,"Cyberview Garden Villas, Persiaran Multimedia, Cyber 7, 63000 Cyberjaya, Selangor"
alnoor,alnoor international school,"4 & 6, Lengkok Bellamy, Bukit Petaling, 50460 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
alpha,alpha red solutions sdn bhd,"No. 16, Jalan Metro 1/2, Bandar Metro Puchong, 47160 Puchong, Selangor."
alpro,alpro pharmacy sdnbhd," Lot No. PT45880, Jalan Tech Valley 3/2, Sendayan Tech Valley, 71950 Seremban, Negeri Sembilan."
apac,apac venture sdn bhd,"B-5-30, 5th Floor, Block Bougainvillea, 10 Boulevard, PJU 6A, 47400 Petaling Jaya, MYS"
ascentrio,ascentrio sdn bhd,"Suite 3A-10, Block A4, Leisure Commerce Square, No. 9, Jalan PLS 8/9, 46150 Petaling Jaya"
ashisuto,ashisuto global technologies sdn bhd,"Sains@USM CREST Place Block A, No. 10 Persiaran Bukit Jambul 11900 Bayan Lepas Penang, Malaysia"
asian,asian football confederation afc,"AFC House, Jalan 1/155B Bukit Jalil, 57000 Kuala Lumpur"
astro,astro malaysia holdings berhad,"All Asia Broadcast Center, Technology Park Malaysia, Lebuhraya Puchong, Sungai Besi- Bukit Jalil, 57000 Kuala Lumpur, WP Kuala Lumpur"
atos,atos services m sdn bhd,"Ground Floor, 2310 Century Square,
Jalan Usahawan,
63000 Cyberjaya, Selangor."
