company_id,Company name,Company address,company_name_slug,company_no,reviews_count,average_company_rating,company_review_summary_url,company_review_url,foreign_company_id,map_address,map_latitude,map_longitude,industry,website_url,Secondary Address,Company Tel,Company Email,Contact Person,Position,FET,FCA,FOB,FCM,FOE,FOM,FIST,FCI,tertiary address
1.65E+14,(S) Kobe Precision Technology Sdn. Bhd.,,s-kobe-precision-technology-164810323231495,234901-M,1,3,/companies/164810323231495/company-reviews/summary,/companies/164810323231495/company-reviews,60775,,,,Manufacturing/Production,,,,,,,1,0,0,0,0,0,0,0,"Plot 39, Phase Iv Bayan Lepas Industrial Estate 11900 Bayan Lepas Pulau Pinang"
637698,2Y Link (Malaysia) Sdn Bhd,C1-3-3 Solaris Dutamas No 1 Jalan Dutamas 1,2y-link-malaysia-637698,890574-V,0,0,/companies/637698/company-reviews/summary,/companies/637698/company-reviews,58301,C1-3-3 Solaris Dutamas No 1 Jalan Dutamas 1,,,Electrical & Electronics,,,,,,,1,0,0,0,0,0,0,0,
1244334,6K HYPERSPACE (M) SDN. BHD.,"No. 9, Jalan TTC35, Taman Teknologi Cheng, 75250 Melaka",6k-hyperspace-m-1244334,1112391-T,8,2.625,/companies/1244334/company-reviews/summary,/companies/1244334/company-reviews,150653,"No. 9, Jalan TTC35, Taman Teknologi Cheng, 75250 Melaka",,,Semiconductor/Wafer Fabrication,,,,mt.lim@interstella.tech,Lim Meng Tin, Senior Mechanical Design Engineer,1,0,0,0,0,0,0,0,
,AB CREATIVE ART ENTEPRISE,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,
612555,ABB Malaysia Sdn. Bhd.,ABB Malaysia Sdn. Bhd. Subang Jaya Selangor Malaysia,abb-malaysia-612555,210262-T,78,3.9872,/companies/612555/company-reviews/summary,/companies/612555/company-reviews,9961,ABB Malaysia Sdn. Bhd. Subang Jaya Selangor Malaysia,,,"Consulting (IT, Science, Engineering & Technical)",,"Lot 608, Jalan Lagoon Selatan Bandar Sunway, Subang Jaya 47500 Selangor Malaysia.",03-56284888,ester.krishnan@my.abb.com,Ms Ester Krishnan,,0,0,0,0,1,0,0,0,
,ABBYS IT,"15-1. JALAN KNMP 1,KOMPLEKS NIAGA MELAKA PERDANA,JALAN TUN HAMZAH, BUKIT KATIL",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,
827134,Accenture Solutions Sdn Bhd,"Level 35, The Gardens North Tower, Mid Valley City, Linkaran Syed Putra, 59200 KL",accenture-solutions-827134,179903-H,42,4.2143,/companies/827134/company-reviews/summary,/companies/827134/company-reviews,104264,"Level 35, The Gardens North Tower, Mid Valley City, Linkaran Syed Putra, 59200 KL",,,Consulting (Business & Management),,"Level 30 Menara Exchange 106, Lingkaran TRX, Tun Razak Exchange, 55188 Kuala Lumpur, Malaysia",03-20884000,,,,0,0,0,0,0,1,1,0,
1.64121E+14,Achik Sdn. Bhd,,achik-164120888781935,842035-W,1,5,/companies/164120888781935/company-reviews/summary,/companies/164120888781935/company-reviews,235450,,,,Printing/Publishing,,,,,,,0,0,0,1,0,0,0,0,
,ACT 2 PICTURES SDN BHD,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,
460278,ACT Partners,"Wisma Chew & Co. 39, Jalan Kenari 17c, Bandar Puchong Jaya, 47100 Puchong, Selangor, Malaysia",act-partners-460278,AF001842,17,3.9412,/companies/460278/company-reviews/summary,/companies/460278/company-reviews,70688,"Wisma Chew & Co. 39, Jalan Kenari 17c, Bandar Puchong Jaya, 47100 Puchong, Selangor, Malaysia",3.047032,101.623262,Banking/Financial Services,https://www.arris.com.my,,03-80763063,,,,0,0,0,0,0,1,0,0,
