POSKOD,ADDRESS,CITY,STATE
1000,Alor Redeh,Kangar,Perlis
1000,Alor Tok Terang,Kangar,Perlis
1000,Bohor Gelam,Kangar,Perlis
1000,Jalan Abi Tok Hashim,Kangar,Perlis
1000,Jalan Alor Sena,Kangar,Perlis
1000,Jalan Arau,Kangar,Perlis
1000,Jalan Besar Kangar,Kangar,Perlis
1000,Jalan Bohor Guncar,Kangar,Perlis
1000,Jalan Bukit Meranti,Kangar,Perlis
1000,Jalan Home Guard,Kangar,Perlis
1000,Jalan Hospital,Kangar,Perlis
1000,Jalan Jubli Perak,Kangar,Perlis
1000,Jalan Kaki Bukit (Batu 4 1/2),Kangar,Perlis
1000,Jalan Kampung Wan Abdullah,Kangar,Perlis
1000,Jalan Kangar,Kangar,Perlis
1000,Jalan Kurung Batang,Kangar,Perlis
1000,Jalan Masjid Lama,Kangar,Perlis
1000,Jalan Medan Kangar,Kangar,Perlis
1000,Jalan Padang Bohor,Kangar,Perlis
1000,Jalan Panglima,Kangar,Perlis
1000,Jalan Pegawai,Kangar,Perlis
1000,Jalan Penjara,Kangar,Perlis
1000,Jalan Raja Muda,Kangar,Perlis
1000,Jalan Raja Syed Alwi,Kangar,Perlis
1000,Jalan Raja Syed Saffi,Kangar,Perlis
1000,Jalan Santan (Km 5),Kangar,Perlis
1000,Jalan Seruling,Kangar,Perlis
1000,Jalan Syed Omar,Kangar,Perlis
1000,Jalan Taman Bunga Padi,Kangar,Perlis
1000,Jalan Teluk Kacang,Kangar,Perlis
1000,Jalan Tok Kandang,Kangar,Perlis
1000,Jalan Tun Razak,Kangar,Perlis
1000,Jejawi,Kangar,Perlis
1000,Kampung Abi Batas Paip,Kangar,Perlis
1000,Kampung Abi Padang Machang,Kangar,Perlis
1000,Kampung Abi Pokok Asam,Kangar,Perlis
1000,Kampung Abi Tok Hashim,Kangar,Perlis
1000,Kampung Alor Ara,Kangar,Perlis
1000,Kampung Alor Dalam,Kangar,Perlis
1000,Kampung Alor Kabong,Kangar,Perlis
1000,Kampung Alor Lanchang,Kangar,Perlis
1000,Kampung Alor Marus,Kangar,Perlis
1000,Kampung Alor Pulai,Kangar,Perlis
1000,Kampung Alor Redeh,Kangar,Perlis
1000,Kampung Alor Sena,Kangar,Perlis
1000,Kampung Alor,Kangar,Perlis
1000,Kampung Aman,Kangar,Perlis
1000,Kampung Asam 6,Kangar,Perlis
1000,Kampung Aur,Kangar,Perlis
1000,Kampung Bakau,Kangar,Perlis
